   0,   0,   0,   0,   0,  70,   0,   0,   0,   0,
   0,   0,   0,   0,   0,  70,   0,   0,   0,   0,
   0,   0,   0,   0,   0,   0,   0, 126,   0,   0,
   0,   0,   0, 126, 126,   0, 126, 254, 126,   0,
   0,   0, 126, 254, 254, 126, 126, 254, 126,   0,
   0,   0,   0, 126, 126,   0, 126, 254, 126,   0,
   0,   0, 126, 126, 126,   0,   0, 126, 126, 126,
   0, 126, 254, 254, 254, 126,   0, 126, 254, 254,
   0, 126, 254, 254, 254, 126,   0, 126, 254, 254,
   0, 126, 254, 254, 254, 126,   0, 126, 254, 254,
